Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,2091.6272744932976,2100.6025207732246,2206.3957620001293,2802.224794131606,2924.8201669571195,3093.978245368675,3945.8151254683057,5172.336907040264,5280.588155942263,5671.30911730702,8652.237040002523,9326.287144036318,10161.588239148075,11863.212527827234,10407.345244361462,10217.081699569308,10073.364021301344,9583.7242883703,10303.60057521065,9708.277440227255,9112.461105348943,9145.810174207281,18263.96796826213,21811.24255503127
Libya,819.7479936006769,452.5136147574527,541.401766516621,685.0732200740247,690.9307693483545,614.356296200431,639.1370461889375,1100.0686521298505,,,,2987.41340773267,3964.690154136521,3755.652496350929,,,,,,,,1214.8645582452625,1573.6827773146888,
Morocco,1470.3176147925328,1474.8743262617281,1819.2300702499797,1937.523821552049,2031.1313805624586,2134.59487606275,2408.350249562701,2944.9584727359997,3055.069441858733,3160.804832033607,3342.6989556074454,3402.700835840546,4065.55231693534,4048.6125243501792,3268.363375665711,3327.031889648557,3461.461531383587,3696.8569447441005,3721.32383745287,4830.956393511692,5378.3665352074695,4995.028073835146,5184.9283995423875,5517.9243992338525
Angola,404.299139990661,438.68624541123177,670.0211644324943,817.5335821520827,1365.0553986904408,1970.309115183761,2032.432883434303,3163.5911474090203,3311.1932452772153,3500.7948364464883,3639.4963735446004,4144.634851468555,6090.751702008843,6846.249313340521,3608.2991146167365,2764.054937159764,3062.8729139838,1983.6137480008938,1470.9387172875404,993.5944046258786,981.4510118717992,1622.7637319509674,1247.8463450851725,922.0508138869424
Benin,13.112535622252024,26.000447640418486,34.544046799724704,41.78047834028981,44.70602956008706,46.78613092619863,,64.72460110985809,,,,78.2230910412182,86.00315763905756,92.99070618812131,90.89608589060782,79.58156805205942,116.14278236693988,90.21242599458418,68.11239030783777,71.81781847880863,97.42448880988522,110.01037031732224,149.0352880047432,154.1077197327867
Burkina Faso,36.83296523104501,42.46844995896629,50.757054370268406,65.68424240703409,73.8433421553535,72.63286733347358,107.81672846242283,116.99958687375086,127.33329662463522,123.70047468386377,138.85086020183698,147.72969891896022,166.13634523520363,177.16697177629396,147.9347366641305,149.46736322745178,191.0658387643044,305.7810790579835,357.9215575177743,382.4646773604908,458.2790984448859,562.583349170273,827.153018861823,1023.6722201425774
Burundi,53.230373106377655,44.910067053523555,43.41320130793815,44.87237714597148,49.55712938478892,44.717502041451176,46.308706221634765,43.85631994872184,,,,58.96666227617139,60.8595000932422,62.17742874014547,66.16458443559236,66.4628430779874,63.908678432008834,65.43659526279552,84.68941391820168,67.47409271629704,68.37639713578308,101.434221215165,145.16802165114814,171.82978457825809
Cameroon,124.30170836749478,145.6266105011851,188.49965588437712,221.10792469973595,223.08462314301534,256.9278433322496,296.69891730496784,346.5861256573732,343.2651539859293,354.0543978420157,347.477885670932,354.4474631116474,392.84063089891674,401.5291181013931,353.81549455348926,387.43783087299033,408.1575751355605,429.89218057234984,422.2947719802443,393.29939006377396,443.33683200567674,416.6380216402023,456.5690918880268,534.85200533635
Central African Republic,,10.681962960624858,15.018926359256708,15.103589918320603,15.396194650670752,,19.11251974369193,31.511483793168903,35.99238435701186,51.58527450295492,49.874328728918805,42.74602518573944,47.923241448908705,38.40700992145633,26.703885622839138,26.832998820193534,27.516264177935216,30.517648413658087,40.7776666587025,44.34809807635498,55.515012096934115,42.00180265646586,62.52702181344471,71.1749699459274
Chad,26.192330830965336,34.29040385200319,40.949759119064005,50.54090121809251,55.491517968862574,222.99145135688195,389.1359096286621,611.426848739965,738.9037370866565,615.8170074523953,609.7069930870205,,726.4593960003237,392.38295459279203,220.9823315580353,309.5674317268118,219.08103137027834,253.17412333736397,234.7096549582052,322.86652649138955,330.9980781919861,331.74676604946757,372.75185572335937,557.7112401406976
